paraphrase_name,count,mean,std,min,25%,50%,75%,max
Original,1493.0,7.361018084393838,3.3711847915037674,0.0,5.0,9.0,10.0,10.0
Bullet List,1489.0,7.341168569509738,2.8315957314234956,0.0,5.0,8.0,10.0,10.0
Curly Quotations,1493.0,7.156061620897522,3.272338945333142,0.0,5.0,9.0,10.0,10.0
Em Dash Break,1489.0,7.150436534586971,2.995998924220959,0.0,5.0,8.0,10.0,10.0
Spoiler Bars,1493.0,7.129939718687207,3.3239717205542965,0.0,5.0,9.0,10.0,10.0
Markdown Quote,1489.0,7.116185359301545,3.2190315210262814,0.0,5.0,8.0,10.0,10.0
Hashtags,1489.0,7.105439892545332,2.9982573272794535,0.0,5.0,8.0,10.0,10.0
Interrobang,1489.0,7.085963734049698,3.0892847940917454,0.0,5.0,8.0,10.0,10.0
All Caps,1489.0,7.081934184016118,3.025652425594198,0.0,5.0,8.0,10.0,10.0
Markdown Bold,1493.0,7.077695914266577,3.3688554704718836,0.0,5.0,9.0,10.0,10.0
American English,1490.0,7.057046979865772,3.0883727664148175,0.0,5.0,8.0,10.0,10.0
One Typo Punctuation,1489.0,7.056413700470114,3.095832835767537,0.0,5.0,8.0,10.0,10.0
Two Typos Punctuati…,1489.0,7.052384150436534,3.1149477070924747,0.0,5.0,8.0,10.0,10.0
Exam Prompt,1492.0,7.046916890080429,3.192537809400166,0.0,5.0,8.0,10.0,10.0
No Caps,1489.0,7.046339825386165,3.0861077192591972,0.0,5.0,8.0,10.0,10.0
Extra Punct,1489.0,7.038280725319006,3.0983886289281912,0.0,5.0,8.0,10.0,10.0
Html Comment,1489.0,7.018804566823372,3.1095017268581744,0.0,5.0,8.0,10.0,10.0
Emoticon,1493.0,6.987943737441393,3.4249697154562093,0.0,4.0,9.0,10.0,10.0
Coord To Subord,1489.0,6.974479516453996,3.208380137379445,0.0,5.0,8.0,10.0,10.0
Markdown Italic,1493.0,6.9638312123241795,3.432619007060212,0.0,4.0,9.0,10.0,10.0
Three Typos Punctua…,1489.0,6.9422431161853595,3.166634787756056,0.0,5.0,8.0,10.0,10.0
All Caps And Typo,1493.0,6.939048894842599,3.263398187089717,0.0,5.0,8.0,10.0,10.0
Casual Chat,1492.0,6.920911528150134,3.1493846141058324,0.0,5.0,8.0,10.0,10.0
Key Smash,1489.0,6.920080591000672,3.16816846006493,0.0,5.0,8.0,10.0,10.0
Html Tags,1493.0,6.916945746818486,3.457875697333181,0.0,4.0,8.0,10.0,10.0
With Additional Con…,1493.0,6.915606162089752,3.2026470260511175,0.0,4.0,8.0,10.0,10.0
Markdown Bold And I…,1493.0,6.906229068988614,3.4607016356171196,0.0,4.0,8.0,10.0,10.0
Missing Bracket,1489.0,6.8831430490261925,3.1886967382925295,0.0,5.0,8.0,10.0,10.0
Inline Ad,1489.0,6.878441907320349,3.09080734498836,0.0,5.0,8.0,10.0,10.0
Misplaced Commas,1489.0,6.878441907320349,3.209214512270795,0.0,5.0,8.0,10.0,10.0
Helpful Markdown St…,1493.0,6.876088412592097,3.423432534643515,0.0,4.0,8.0,10.0,10.0
Forum Quote,1492.0,6.869302949061662,3.318091990404334,0.0,4.0,8.0,10.0,10.0
Indirect Relay,1492.0,6.847855227882038,3.3955096335970816,0.0,4.0,8.0,10.0,10.0
Inline Url,1489.0,6.844190732034923,3.0863308863342778,0.0,5.0,8.0,10.0,10.0
With Helpful Explan…,1493.0,6.83456128600134,3.3584091405789662,0.0,4.0,8.0,10.0,10.0
Emoji,1493.0,6.8292029470864035,3.530738892310639,0.0,4.0,8.0,10.0,10.0
Deadpan,1493.0,6.822505023442733,3.43085313560315,0.0,4.0,8.0,10.0,10.0
Missing Quote,1489.0,6.821356615177971,3.2035011990870204,0.0,5.0,8.0,10.0,10.0
Curly Quotations An…,7465.0,6.8186202277294035,3.389908653494781,0.0,4.0,8.0,10.0,10.0
Pseudo Cleft,1489.0,6.815983881799865,3.368056336169423,0.0,4.0,8.0,10.0,10.0
Parenthetical Aside,1489.0,6.809267965077233,3.139009682851195,0.0,5.0,8.0,10.0,10.0
Random Linebreaks,1489.0,6.780389523169912,3.3678176636973185,0.0,4.0,8.0,10.0,10.0
Emoticon And Typo,1493.0,6.778298727394508,3.4559286665432842,0.0,4.0,8.0,10.0,10.0
Hypothetical If,1493.0,6.77762893503014,3.411085540110422,0.0,4.0,8.0,10.0,10.0
Might Be Wrong,1492.0,6.77680965147453,3.5866842953767515,0.0,4.0,9.0,10.0,10.0
With Personal Touch,1493.0,6.764902880107167,3.4026563616722196,0.0,4.0,8.0,10.0,10.0
Study Setup,1492.0,6.759383378016086,3.491161459815754,0.0,4.0,8.0,10.0,10.0
Code Fence,1493.0,6.751507032819826,3.410755059099725,0.0,4.0,8.0,10.0,10.0
Typo Extra Space,1489.0,6.724647414372062,3.281700794931596,0.0,4.0,8.0,10.0,10.0
No Punct,1489.0,6.7145735392881125,3.3438369880351595,0.0,4.0,8.0,10.0,10.0
Helpful Meaning Rei…,1493.0,6.706630944407234,3.573388419227866,0.0,4.0,8.0,10.0,10.0
Oxford Comma,1489.0,6.700470114170584,3.261910523407273,0.0,4.0,8.0,10.0,10.0
Topicalization,1489.0,6.690396239086636,3.3816663221545746,0.0,4.0,8.0,10.0,10.0
Output Markdown,1493.0,6.689886135298058,3.4869939580821963,0.0,4.0,8.0,10.0,10.0
Several Html Tags,1493.0,6.6778298727394505,3.5436795837780024,0.0,4.0,8.0,10.0,10.0
Qa Script,1492.0,6.670241286863271,3.475482655240721,0.0,4.0,8.0,10.0,10.0
British English,1490.0,6.6644295302013425,3.2440693178195885,0.0,4.0,8.0,10.0,10.0
With Similes,1493.0,6.656396517079705,3.4060279529674107,0.0,4.0,8.0,10.0,10.0
With Examples,1493.0,6.649698593436034,3.2658966109122716,0.0,4.0,8.0,10.0,10.0
Markdown Doc,1492.0,6.648793565683646,3.4273105047624663,0.0,4.0,8.0,10.0,10.0
Numbered List,1489.0,6.640026863666891,3.282924050577245,0.0,4.0,8.0,10.0,10.0
Missing Bracket And…,1489.0,6.640026863666891,3.259297536185579,0.0,4.0,8.0,10.0,10.0
All Caps And Typo A…,2986.0,6.6336235766912255,3.404459790228569,0.0,4.0,8.0,10.0,10.0
Modal May,1493.0,6.624246483590087,3.498199678426527,0.0,4.0,8.0,10.0,10.0
Typo Missing Space,1489.0,6.618535930154466,3.3151380151299943,0.0,4.0,8.0,10.0,10.0
Emoji And Typo,1493.0,6.610850636302746,3.543005061490209,0.0,4.0,8.0,10.0,10.0
Modal Must,1493.0,6.604152712659076,3.555482706222932,0.0,3.0,8.0,10.0,10.0
Sic Marker,1492.0,6.603887399463807,3.5797794008487713,0.0,4.0,8.0,10.0,10.0
No Contractions,1493.0,6.602813127930341,3.437830479835344,0.0,4.0,8.0,10.0,10.0
Email,1492.0,6.57171581769437,3.2382819143612367,0.0,4.0,7.0,10.0,10.0
Cleft It Is,1489.0,6.568166554734721,3.441067903475155,0.0,4.0,8.0,10.0,10.0
With Analogies,1493.0,6.561955793703952,3.3505550627631084,0.0,4.0,8.0,10.0,10.0
Emoticon And Typo A…,2986.0,6.5569323509711985,3.5740935293058707,0.0,3.0,8.0,10.0,10.0
Tech Support Ticket,1492.0,6.552949061662199,3.6044179821471793,0.0,3.0,8.0,10.0,10.0
Random Linebreaks A…,7465.0,6.54655056932351,3.563053113774889,0.0,3.0,8.0,10.0,10.0
Tweet,1492.0,6.538873994638069,3.558719400972275,0.0,4.0,8.0,10.0,10.0
Neutral,1493.0,6.5291359678499665,3.4691268173608165,0.0,4.0,8.0,10.0,10.0
Bulleted Outline,1493.0,6.527126590756866,3.1082083851201694,0.0,4.0,7.0,9.0,10.0
With Case Studies,1493.0,6.506363027461487,3.1379359124071895,0.0,4.0,7.0,9.0,10.0
Casual,1490.0,6.485906040268456,3.389848158126687,0.0,4.0,8.0,10.0,10.0
